@@Culture:ru-RU
AccProduct;Description;"Default service item for handling the process of requesting delegations. (Predefined service item).";"Default service item for handling the process of requesting delegations. (Predefined service item).";"Элемент услуги по умолчанию для обработки запросов на делегирование. (Предопределенный элемент услуги.)"
AccProduct;Description;"Default service item for requesting devices(Predefined service item).";"Default service item for requesting devices. (Predefined service item).";"Элемент услуги по умолчанию для запроса устройств. (Предопределенный элемент услуги.)"
AccProduct;Description;"Default service item for requesting entitlement assignments to roles. (Predefined service item).";"Default service item for requesting entitlement assignments to roles. (Predefined service item).";"Элемент услуги по умолчанию для запроса назначения полномочий ролей. (Предопределенный элемент услуги.)"
AccProduct;Description;"Default service item for requesting role memberships. (Predefined service item).";"Default service item for requesting role memberships. (Predefined service item).";"Элемент услуги по умолчанию для запроса членства в роли. (Предопределенный элемент услуги.)"
AccProduct;Description;"For handling the process of extending the permissions inherited from a membership that already got lost. (Predefined service item).";"For handling the process of extending the permissions inherited from a membership that already got lost. (Predefined service item).";"Для обработки процесса расширения прав, унаследованных от утраченного ранее членства. (Предопределенный элемент услуги.)"
AccProduct;Description;"For handling the process of the assignment of a new manager. (Predefined service item).";"For handling the process of the assignment of a new manager. (Predefined service item).";"Для обработки процесса назначения нового менеджера. (Предопределенный элемент услуги.)"
AccProduct;Description;"For requesting a new Starling 2FA token. (Predefined service item).";"For requesting a new Starling 2FA token. (Predefined service item).";"Для запроса нового токена Starling 2FA. (Предопределенный элемент услуги.)"
AccProduct;Description;"Predefined service item.";"Predefined service item.";"Предопределенный элемент услуги."
AccProduct;Ident_AccProduct;"Challenge loss of role membership";"Challenge loss of role membership";"Утрата членства в роли из-за соперничества"
AccProduct;Ident_AccProduct;"DEFAULT_ACCPRODUCT";"Default service item";"Элемент услуги по умолчанию"
AccProduct;Ident_AccProduct;"Delegation";"Delegation";"Делегирование"
AccProduct;Ident_AccProduct;"New manager assignment";"New manager assignment";"Назначение нового менеджера"
AccProduct;Ident_AccProduct;"New Starling 2FA token";"New Starling 2FA token";"Новый токен Starling 2FA"
AccProduct;Ident_AccProduct;"Role entitlement assignment";"Role entitlement assignment";"Назначение полномочий роли"
AccProduct;Ident_AccProduct;"Role membership";"Role membership";"Решение об утверждении утверждающим лицом передано на последующие этапы утверждения в процедуре, выполненными им или ею."
AccProduct;Ident_AccProduct;"Standard computer";"Default computer";"Компьютер по умолчанию"
AccProductGroup;FullPath;"Access Lifecycle";"Access Lifecycle";"Жизненный цикл доступа"
AccProductGroup;Ident_AccProductGroup;"Access Lifecycle";"Access Lifecycle";"Жизненный цикл доступа"
AERole;Description;"All permissions for self-registration in Web Portal are assigned to the application role. All new external employees are assigned to this application role and obtain the resources dynamically.";"All permissions for self-registration in Web Portal are assigned to the application role. All new external employees are assigned to this application role and obtain the resources dynamically.";"Все права для самостоятельной регистрации на веб-портале назначаются роли приложения. Все новые внешние сотрудники назначаются этой роли приложения и получают ресурсы динамически."
AERole;Description;"All resources labeled for automatic assignment to all employees are assigned to the application role. All internal employees are assigned to this application role and obtain the resources dynamically.";"All resources labeled for automatic assignment to all employees are assigned to the application role. All internal employees are assigned to this application role and obtain the resources dynamically.";"Все ресурсы, отмеченные для автоматического присвоения всем сотрудникам, присваиваются роли приложения. Все внутренние сотрудники присвоены этой роли приложения и получают ресурсы динамически."
AERole;Description;"Members of this application role and its child roles are allowed to edit departments, cost centers and locations. They edit application roles in the category ""Organizations"" and specify their members.";"Members of this application role and its child roles are allowed to edit departments, cost centers and locations. They edit application roles in the category ""Organizations"" and specify their members.";"Лица этой роли в приложении и ее дочерних узлов допускаются к редактированию отделов, центров учета затрат и участков. Они могут изменять роли в приложении в категории ""Организации"" и указывать лица, занимающие их."
AERole;Description;"Members of this application role and its child roles are allowed to edit employee data.";"Members of this application role and its child roles are allowed to edit employee data.";"Лица этой роли в приложении и ее дочерних узлов допускаются к редактированию данных о сотрудниках."
